"SampleID"
"60708_TMT32_PBMCs_Target3_A11_127D"
"60708_TMT32_PBMCs_Target3_A11_128CD"
"60708_TMT32_PBMCs_Target3_A11_128N"
"60708_TMT32_PBMCs_Target3_A11_128ND"
"60708_TMT32_PBMCs_Target3_A11_129CD"
"60708_TMT32_PBMCs_Target3_A11_129ND"
"60708_TMT32_PBMCs_Target3_A11_130N"
"60708_TMT32_PBMCs_Target3_A11_130ND"
"60708_TMT32_PBMCs_Target3_A11_131CD"
"60708_TMT32_PBMCs_Target3_A11_132N"
"60708_TMT32_PBMCs_Target3_A11_132ND"
"60708_TMT32_PBMCs_Target3_A11_133ND"
"60708_TMT32_PBMCs_Target3_A11_134N"
"60708_TMT32_PBMCs_Target3_A12_127C"
"60708_TMT32_PBMCs_Target3_A12_127D"
"60708_TMT32_PBMCs_Target3_A12_127N"
"60708_TMT32_PBMCs_Target3_A12_128ND"
"60708_TMT32_PBMCs_Target3_A12_129C"
"60708_TMT32_PBMCs_Target3_A12_129ND"
"60708_TMT32_PBMCs_Target3_A12_130C"
"60708_TMT32_PBMCs_Target3_A12_130N"
"60708_TMT32_PBMCs_Target3_A12_131CD"
"60708_TMT32_PBMCs_Target3_A12_131ND"
"60708_TMT32_PBMCs_Target3_A12_132CD"
"60708_TMT32_PBMCs_Target3_A12_132N"
"60708_TMT32_PBMCs_Target3_A12_133N"
"60708_TMT32_PBMCs_Target3_A12_134N"
"60708_TMT32_PBMCs_Target3_A12_134ND"
"60708_TMT32_PBMCs_Target3_A7_127D"
"60708_TMT32_PBMCs_Target3_A7_129C"
"60708_TMT32_PBMCs_Target3_A7_129CD"
"60708_TMT32_PBMCs_Target3_A7_129ND"
"60708_TMT32_PBMCs_Target3_A7_130C"
"60708_TMT32_PBMCs_Target3_A7_131CD"
"60708_TMT32_PBMCs_Target3_A7_131N"
"60708_TMT32_PBMCs_Target3_A7_132ND"
"60708_TMT32_PBMCs_Target3_A7_133C"
"60708_TMT32_PBMCs_Target3_A7_133CD"
"60708_TMT32_PBMCs_Target3_A7_133N"
"60708_TMT32_PBMCs_Target3_A7_133ND"
"60708_TMT32_PBMCs_Target3_A7_134N"
"60708_TMT32_PBMCs_Target3_A8_127D"
"60708_TMT32_PBMCs_Target3_A8_127N"
"60708_TMT32_PBMCs_Target3_A8_128C"
"60708_TMT32_PBMCs_Target3_A8_128ND"
"60708_TMT32_PBMCs_Target3_A8_129N"
"60708_TMT32_PBMCs_Target3_A8_130N"
"60708_TMT32_PBMCs_Target3_A8_130ND"
"60708_TMT32_PBMCs_Target3_A8_131CD"
"60708_TMT32_PBMCs_Target3_A8_131ND"
"60708_TMT32_PBMCs_Target3_A8_132N"
"60708_TMT32_PBMCs_Target3_A8_133C"
"60708_TMT32_PBMCs_Target3_A8_133CD"
"60708_TMT32_PBMCs_Target3_A8_134CD"
"60708_TMT32_PBMCs_Target3_A8_134N"
"60708_TMT32_PBMCs_Target3_A8_134ND"
"60708_TMT32_PBMCs_Target3_B1_128C"
"60708_TMT32_PBMCs_Target3_B1_128CD"
"60708_TMT32_PBMCs_Target3_B1_128N"
"60708_TMT32_PBMCs_Target3_B1_128ND"
"60708_TMT32_PBMCs_Target3_B1_129C"
"60708_TMT32_PBMCs_Target3_B1_130C"
"60708_TMT32_PBMCs_Target3_B1_130N"
"60708_TMT32_PBMCs_Target3_B1_131CD"
"60708_TMT32_PBMCs_Target3_B1_131N"
"60708_TMT32_PBMCs_Target3_B1_132CD"
"60708_TMT32_PBMCs_Target3_B1_133C"
"60708_TMT32_PBMCs_Target3_B1_133N"
"60708_TMT32_PBMCs_Target3_B1_133ND"
"60708_TMT32_PBMCs_Target3_B1_134N"
"60708_TMT32_PBMCs_Target3_B11_127D"
"60708_TMT32_PBMCs_Target3_B11_127N"
"60708_TMT32_PBMCs_Target3_B11_128N"
"60708_TMT32_PBMCs_Target3_B11_128ND"
"60708_TMT32_PBMCs_Target3_B11_129C"
"60708_TMT32_PBMCs_Target3_B11_129N"
"60708_TMT32_PBMCs_Target3_B11_130CD"
"60708_TMT32_PBMCs_Target3_B11_130N"
"60708_TMT32_PBMCs_Target3_B11_130ND"
"60708_TMT32_PBMCs_Target3_B11_131C"
"60708_TMT32_PBMCs_Target3_B11_131CD"
"60708_TMT32_PBMCs_Target3_B11_131N"
"60708_TMT32_PBMCs_Target3_B11_132C"
"60708_TMT32_PBMCs_Target3_B11_132CD"
"60708_TMT32_PBMCs_Target3_B11_132N"
"60708_TMT32_PBMCs_Target3_B11_133C"
"60708_TMT32_PBMCs_Target3_B11_133CD"
"60708_TMT32_PBMCs_Target3_B11_133N"
"60708_TMT32_PBMCs_Target3_B11_134N"
"60708_TMT32_PBMCs_Target3_B12_127C"
"60708_TMT32_PBMCs_Target3_B12_127D"
"60708_TMT32_PBMCs_Target3_B12_127N"
"60708_TMT32_PBMCs_Target3_B12_128C"
"60708_TMT32_PBMCs_Target3_B12_128CD"
"60708_TMT32_PBMCs_Target3_B12_128N"
"60708_TMT32_PBMCs_Target3_B12_128ND"
"60708_TMT32_PBMCs_Target3_B12_130CD"
"60708_TMT32_PBMCs_Target3_B12_130ND"
"60708_TMT32_PBMCs_Target3_B12_131C"
"60708_TMT32_PBMCs_Target3_B12_131N"
"60708_TMT32_PBMCs_Target3_B12_132C"
"60708_TMT32_PBMCs_Target3_B12_132ND"
"60708_TMT32_PBMCs_Target3_B12_133CD"
"60708_TMT32_PBMCs_Target3_B12_133N"
"60708_TMT32_PBMCs_Target3_B12_133ND"
"60708_TMT32_PBMCs_Target3_B12_134CD"
"60708_TMT32_PBMCs_Target3_B12_134N"
"60708_TMT32_PBMCs_Target3_B2_127D"
"60708_TMT32_PBMCs_Target3_B2_127N"
"60708_TMT32_PBMCs_Target3_B2_128C"
"60708_TMT32_PBMCs_Target3_B2_129N"
"60708_TMT32_PBMCs_Target3_B2_129ND"
"60708_TMT32_PBMCs_Target3_B2_130C"
